city,latitude,logitude,max_temperature,pressure,humidity,wind_speed,cloudiness,country
porto novo,6.4965,2.6036,25.54,1012.0,84.0,3.09,100.0,BJ
st. john's,47.5649,-52.7093,11.42,1002.0,98.0,2.57,100.0,CA
grytviken,-54.2811,-36.5092,-7.19,1005.0,79.0,3.86,15.0,GS
belo sur tsiribihina,-19.7,44.55,24.83,1015.0,63.0,3.3,25.0,MG
punta arenas,-53.15,-70.9167,-1.94,1028.0,93.0,1.03,20.0,CL
ponta delgada,37.7333,-25.6667,19.4,1023.0,68.0,4.12,40.0,PT
katpur,21.05,71.7833,34.5,999.0,53.0,5.11,0.0,IN
grand falls-windsor,48.9332,-55.6649,7.46,1003.0,98.0,3.02,100.0,CA
victoria falls,-17.9235,25.843,28.03,1015.0,21.0,3.46,8.0,ZW
tralee,52.2704,-9.7026,13.14,1008.0,88.0,6.69,100.0,IE
kolokani,13.5728,-8.0339,41.07,1008.0,17.0,3.72,97.0,ML
chimore,-16.9833,-65.1333,15.15,1023.0,88.0,0.75,100.0,BO
east london,-33.0153,27.9116,18.52,1020.0,94.0,4.12,75.0,ZA
yellowknife,62.456,-114.3525,13.29,1005.0,38.0,3.09,20.0,CA
lycksele,64.5954,18.6735,20.24,1027.0,34.0,2.57,100.0,SE
hithadhoo,-0.6,73.0833,28.85,1010.0,77.0,5.13,95.0,MV
port-aux-francais,-49.35,70.2167,3.39,1000.0,73.0,18.61,15.0,TF
whitehorse,60.7161,-135.0538,4.5,1002.0,64.0,5.66,75.0,CA
selfoss,63.9331,-20.9971,10.02,1009.0,69.0,8.77,64.0,IS
kani keli,-12.9536,45.1033,27.59,1014.0,69.0,7.37,4.0,YT
adamstown,-25.066,-130.1015,21.66,1015.0,83.0,7.79,47.0,PN
port saint john's,-31.6229,29.5448,21.11,1020.0,77.0,4.36,88.0,ZA
port elizabeth,-33.918,25.5701,21.72,1024.0,86.0,2.57,75.0,ZA
nar'yan-mar,67.6713,53.087,-1.05,1012.0,79.0,8.94,99.0,RU
blackmans bay,-43.0167,147.3167,4.18,1026.0,92.0,1.33,59.0,AU
tayoltita,24.0833,-105.9333,30.19,1014.0,23.0,1.1,69.0,MX
hermanus,-34.4187,19.2345,19.89,1021.0,82.0,4.73,55.0,ZA
nova sintra,14.8667,-24.7167,23.8,1015.0,80.0,8.31,100.0,CV
bethel,41.3712,-73.414,23.53,1012.0,56.0,4.12,0.0,US
mae ramat,16.984,98.5166,24.88,1009.0,95.0,0.62,100.0,TH
papatowai,-46.5619,169.4708,5.63,1002.0,81.0,10.83,98.0,NZ
avarua,-21.2078,-159.775,25.03,1014.0,94.0,0.51,100.0,CK
edinburgh of the seven seas,-37.0676,-12.3116,16.85,1021.0,86.0,10.49,94.0,SH
araioses,-2.89,-41.9031,31.49,1012.0,60.0,1.48,70.0,BR
puerto ayora,-0.7393,-90.3518,23.98,1014.0,81.0,3.42,88.0,EC
azadshahr,34.7909,48.5707,19.27,1018.0,42.0,5.14,40.0,IR
pathein,16.7833,94.7333,25.4,1002.0,98.0,5.55,100.0,MM
alofi,-19.0595,-169.9187,24.94,1013.0,100.0,2.06,75.0,NU
stanley,54.868,-1.6985,15.29,1017.0,70.0,3.6,20.0,GB
petropavlovsk-kamchatsky,53.0452,158.6483,4.32,1013.0,75.0,3.0,100.0,RU
soure,-0.7167,-48.5233,29.9,1013.0,82.0,2.05,100.0,BR
crane,31.3974,-102.3501,24.8,1008.0,40.0,3.32,0.0,US
afif,23.9065,42.9172,37.47,1004.0,9.0,7.1,0.0,SA
cabo san lucas,22.8909,-109.9124,25.61,1011.0,51.0,3.31,99.0,MX
hadibu,12.65,54.0333,31.28,1006.0,68.0,1.43,52.0,YE
hamilton,39.1834,-84.5333,25.67,1010.0,76.0,5.14,0.0,US
waitangi,-43.9535,-176.5597,11.34,991.0,74.0,15.82,100.0,NZ
ushuaia,-54.8,-68.3,0.81,1027.0,93.0,1.03,100.0,AR
san carlos de bariloche,-41.1456,-71.3082,1.86,1024.0,87.0,4.12,75.0,AR
west island,-12.1568,96.8225,27.99,1012.0,78.0,8.23,75.0,CC
kargasok,59.0556,80.8572,10.54,1016.0,32.0,3.13,46.0,RU
taoudenni,22.6783,-3.9836,41.81,1009.0,7.0,4.47,1.0,ML
qaqortoq,60.7167,-46.0333,1.76,1002.0,67.0,3.36,7.0,GL
san patricio,28.017,-97.5169,30.05,1008.0,73.0,7.29,17.0,US
punta del este,-34.9667,-54.95,10.54,1028.0,75.0,6.69,75.0,UY
enewetak,11.3474,162.3373,27.94,1011.0,84.0,7.78,87.0,MH
cockburn town,21.4612,-71.1419,26.44,1015.0,78.0,0.91,1.0,TC
port alfred,-33.5906,26.891,19.54,1020.0,84.0,0.89,96.0,ZA
isafjordur,66.0755,-23.124,17.02,1007.0,39.0,2.57,20.0,IS
loch garman,52.3342,-6.4575,13.83,1013.0,100.0,6.71,99.0,IE
ambon,-3.6954,128.1814,27.71,1011.0,15.0,2.06,75.0,ID
general pinedo,-27.3167,-61.2833,11.66,1030.0,56.0,1.79,58.0,AR
gargalianoi,37.0667,21.6333,22.34,1014.0,58.0,3.64,100.0,GR
tamanrasset,22.785,5.5228,37.95,1019.0,5.0,3.09,0.0,DZ
iqaluit,63.7506,-68.5145,-0.15,1016.0,74.0,5.66,75.0,CA
qamdo,31.1667,97.2333,9.68,1008.0,63.0,2.33,44.0,CN
palikir - national government center,6.9248,158.1611,27.41,1011.0,83.0,2.06,100.0,FM
ribeira grande,38.5167,-28.7,21.22,1023.0,60.0,5.66,40.0,PT
san pedro de macoris,18.4616,-69.2972,29.34,1015.0,75.0,2.21,100.0,DO
ta`u,-14.2336,-169.5144,27.79,1012.0,82.0,4.67,62.0,AS
fortuna,40.5982,-124.1573,11.19,1016.0,92.0,0.89,98.0,US
alice springs,-23.7,133.8833,13.75,1022.0,62.0,2.57,0.0,AU
albany,42.6001,-73.9662,20.44,1012.0,56.0,0.45,100.0,US
ilulissat,69.2167,-51.1,2.01,1011.0,51.0,3.09,0.0,GL
kencong,-8.2833,113.3667,25.13,1012.0,90.0,1.06,79.0,ID
lebu,-37.6167,-73.65,10.59,1017.0,60.0,2.3,100.0,CL
pisco,-13.7,-76.2167,18.03,1014.0,88.0,1.54,6.0,PE
nova vicosa,-17.8919,-39.3719,29.33,1017.0,52.0,2.02,100.0,BR
usinsk,65.9939,57.5281,3.37,1006.0,81.0,12.52,99.0,RU
margaret river,-33.95,115.0667,16.75,1020.0,68.0,2.24,6.0,AU
zambezi,-13.5432,23.1047,30.0,1011.0,20.0,2.03,2.0,ZM
bredasdorp,-34.5322,20.0403,18.21,1021.0,75.0,4.04,92.0,ZA
port lincoln,-34.7333,135.8667,14.85,1024.0,72.0,4.25,0.0,AU
mogadishu,2.0371,45.3438,27.45,1011.0,82.0,8.01,100.0,SO
nyurba,63.2842,118.3319,14.85,1011.0,65.0,3.77,76.0,RU
remire-montjoly,4.9167,-52.2667,30.02,1014.0,74.0,3.6,75.0,GF
msanga,-6.05,36.0333,28.71,1011.0,35.0,3.91,77.0,TZ
kodiak,57.79,-152.4072,3.73,1002.0,81.0,4.12,100.0,US
new plymouth,-39.0667,174.0833,12.12,1007.0,82.0,10.3,53.0,NZ
savanna-la-mar,18.219,-78.1332,29.97,1014.0,56.0,0.48,0.0,JM
longyearbyen,78.2186,15.6401,-1.09,1015.0,80.0,12.35,75.0,SJ
rawlins,41.7911,-107.2387,7.42,1010.0,76.0,5.14,100.0,US
bemidji,47.4736,-94.8803,7.87,1004.0,87.0,6.17,100.0,US
tiksi,71.6872,128.8694,1.2,1013.0,99.0,3.57,99.0,RU
sinabang,2.4803,96.3801,28.1,1008.0,83.0,1.27,100.0,ID
sihanoukville,10.6093,103.5296,30.07,1009.0,75.0,2.56,100.0,KH
monticello,45.3055,-93.7941,16.66,1008.0,77.0,4.12,40.0,US
illizi,26.4833,8.4667,42.89,1007.0,7.0,3.88,0.0,DZ
carnarvon,-24.8667,113.6333,21.99,1020.0,78.0,6.86,0.0,AU
andergrove,-21.0833,149.1833,18.14,1021.0,83.0,5.91,72.0,AU
weno,7.4515,151.8468,28.95,1010.0,81.0,8.61,12.0,FM
dubbo,-32.25,148.6167,8.07,1025.0,93.0,3.09,47.0,AU
iwaki,37.05,140.8833,12.34,1019.0,66.0,2.76,53.0,JP
vila franca do campo,37.7167,-25.4333,19.23,1023.0,99.0,1.26,81.0,PT
la ronge,55.1001,-105.2842,7.14,1010.0,70.0,2.06,75.0,CA
tarija,-21.5355,-64.7296,7.95,1025.0,76.0,2.06,100.0,BO
hawaiian paradise park,19.5933,-154.9731,20.73,1018.0,94.0,2.06,100.0,US
nuuk,64.1835,-51.7216,2.34,1008.0,75.0,2.57,75.0,GL
bilibino,68.0546,166.4372,-1.74,1027.0,76.0,2.04,57.0,RU
el granada,37.5027,-122.4694,14.23,1016.0,93.0,6.17,100.0,US
andovoranto,-18.95,49.1,22.99,1017.0,75.0,3.05,55.0,MG
mil'kovo,55.6078,37.7956,24.27,1027.0,41.0,4.33,26.0,RU
saldanha,-33.0117,17.9442,22.03,1020.0,77.0,6.14,50.0,ZA
itamaraca,-7.7478,-34.8256,30.03,1014.0,63.0,5.59,83.0,BR
kabompo,-13.5927,24.2008,29.91,1011.0,20.0,2.63,7.0,ZM
yuzhno-kurilsk,44.0306,145.8556,3.54,1010.0,98.0,6.5,13.0,RU
wailua homesteads,22.0669,-159.378,23.44,1018.0,82.0,6.17,100.0,US
damavand,35.7178,52.065,20.02,1014.0,31.0,2.25,44.0,IR
kirensk,57.7853,108.1119,14.98,1012.0,61.0,0.45,15.0,RU
puerto natales,-51.7236,-72.4875,-2.75,1026.0,93.0,1.54,9.0,CL
pokhara,28.2333,83.9833,27.01,1003.0,43.0,3.78,97.0,NP
uturoa,-16.7333,-151.4333,27.37,1014.0,83.0,7.57,21.0,PF
zevenaar,51.9167,6.0667,18.94,1016.0,79.0,1.34,94.0,NL
badger,64.8,-147.5333,8.95,1001.0,92.0,1.54,100.0,US
tafuna,-14.3358,-170.72,25.97,1012.0,83.0,1.03,40.0,AS
carauari,-4.8828,-66.8958,26.79,1014.0,84.0,1.0,100.0,BR
dongsheng,39.8161,109.9776,18.33,1009.0,44.0,10.78,8.0,CN
saudarkrokur,65.7461,-19.6394,16.25,1008.0,59.0,8.6,7.0,IS
rahimah,26.7079,50.0619,39.12,1004.0,51.0,3.82,0.0,SA
garoowe,8.4054,48.4845,37.37,1005.0,23.0,3.07,64.0,SO
bubaque,11.2833,-15.8333,27.45,1011.0,73.0,5.29,78.0,GW
tual,-5.6667,132.75,27.89,1010.0,89.0,8.39,96.0,ID
arraial do cabo,-22.9661,-42.0278,26.98,1018.0,74.0,8.75,40.0,BR
aasiaat,68.7098,-52.8699,-2.12,1012.0,80.0,2.0,17.0,GL
college,64.8569,-147.8028,8.99,1001.0,91.0,1.54,100.0,US
al miqdadiyah,33.9786,44.9369,35.55,1004.0,15.0,7.78,4.0,IQ
lazaro cardenas,17.9583,-102.2,26.33,1011.0,55.0,0.38,3.0,MX
kaspiyskiy,45.3929,47.3707,17.19,1025.0,43.0,12.5,100.0,RU
gwanda,-20.9333,29.0,24.46,1018.0,28.0,3.99,2.0,ZW
kralendijk,12.15,-68.2667,30.99,1013.0,66.0,6.69,40.0,BQ
dalandzadgad,43.5708,104.425,16.01,1015.0,22.0,4.95,0.0,MN
mount gambier,-37.8333,140.7667,6.65,1026.0,91.0,1.99,35.0,AU
gorele,41.0308,39.0031,18.31,1011.0,82.0,3.65,98.0,TR
rio grande,-32.035,-52.0986,11.06,1026.0,79.0,6.5,97.0,BR
toliara,-23.35,43.6667,24.08,1017.0,64.0,5.11,0.0,MG
barrancabermeja,7.0653,-73.8547,28.18,1011.0,83.0,2.06,40.0,CO
el calafate,-50.3408,-72.2768,-0.45,1029.0,61.0,0.61,2.0,AR
saint-dizier,48.4167,5.0833,20.38,1017.0,74.0,1.48,55.0,FR
queenstown,-31.8976,26.8753,23.08,1017.0,24.0,6.22,12.0,ZA
ust-nera,64.5667,143.2,3.6,1023.0,79.0,0.38,7.0,RU
turtas,58.9417,69.1325,10.4,1008.0,56.0,6.94,77.0,RU
mountain home,43.133,-115.6912,9.71,1003.0,85.0,4.12,75.0,US
qingdao,36.0986,120.3719,16.78,1009.0,94.0,7.0,75.0,CN
peniche,39.3558,-9.3811,23.49,1020.0,75.0,3.12,66.0,PT
neiafu,-18.65,-173.9833,25.38,1013.0,94.0,0.0,75.0,TO
vorgashor,67.5833,63.95,-2.33,999.0,96.0,6.49,99.0,RU
daru,-9.0763,143.2092,26.17,1011.0,92.0,8.34,96.0,PG
medina,24.4686,39.6142,40.24,1007.0,5.0,6.17,0.0,SA
puerto baquerizo moreno,-0.9,-89.6,23.55,1011.0,83.0,5.14,75.0,EC
klyuchi,52.2667,79.1667,6.8,1016.0,86.0,5.15,100.0,RU
tannum sands,-23.9504,151.3693,18.75,1022.0,82.0,2.06,43.0,AU
coxim,-18.5067,-54.76,19.63,1021.0,64.0,2.7,100.0,BR
pimenta bueno,-11.6725,-61.1936,24.04,1017.0,76.0,3.46,97.0,BR
hilo,19.7297,-155.09,20.85,1018.0,92.0,2.06,100.0,US
salalah,17.0151,54.0924,32.05,1004.0,74.0,5.14,20.0,OM
puerto aysen,-45.4,-72.7,1.44,1028.0,78.0,2.13,82.0,CL
anadyr,64.75,177.4833,-1.72,1025.0,86.0,5.0,0.0,RU
sitka,57.0531,-135.33,6.94,1006.0,81.0,2.57,100.0,US
jolo,6.05,121.0167,26.92,1011.0,87.0,0.57,74.0,PH
keflavik,64.0049,-22.5624,12.24,1007.0,66.0,13.89,75.0,IS
valparaiso,-33.0393,-71.6273,14.44,1020.0,83.0,5.14,100.0,CL
kismayo,-0.3582,42.5454,27.45,1012.0,78.0,7.89,19.0,SO
sydney,-33.8679,151.2073,14.28,1025.0,87.0,2.57,89.0,AU
constantia,44.1833,28.65,22.61,1019.0,70.0,7.86,100.0,RO
kailua-kona,19.6406,-155.9956,23.11,1019.0,98.0,0.45,100.0,US
schmallenberg,51.15,8.3,19.06,1016.0,54.0,2.68,83.0,DE
robbah,33.2797,6.9098,33.8,1013.0,16.0,3.49,4.0,DZ
tadine,-21.55,167.8833,19.83,1018.0,54.0,3.25,75.0,NC
ust'-barguzin,53.45,108.9833,7.02,1017.0,54.0,0.64,20.0,RU
okhotsk,59.3833,143.3,5.89,1020.0,83.0,2.88,100.0,RU
mejit,10.2753,170.8646,27.8,1011.0,78.0,7.65,100.0,MH
general conesa,-40.1,-64.4333,6.68,1033.0,56.0,0.59,6.0,AR
essaouira,31.5125,-9.77,25.72,1015.0,53.0,7.72,20.0,MA
butte,39.6499,-121.5677,13.32,1014.0,69.0,6.69,75.0,US
hatillo,18.4863,-66.8254,31.68,1017.0,74.0,0.89,100.0,PR
sint michiel liber,12.15,-68.9833,30.9,1013.0,74.0,5.66,40.0,CW
rayachoti,14.05,78.75,32.45,1001.0,42.0,6.05,100.0,IN
tura,25.5198,90.2201,30.52,999.0,48.0,1.28,18.0,IN
kristiansund,63.1115,7.732,22.36,1020.0,53.0,5.66,42.0,NO
puerto quijarro,-17.7833,-57.7667,17.1,1023.0,59.0,2.81,100.0,BO
chonchi,-42.6128,-73.8092,3.95,1021.0,81.0,0.53,96.0,CL
anna regina,7.2644,-58.5077,24.92,1015.0,91.0,3.75,100.0,GY
nikel,69.4128,30.222,7.1,1027.0,54.0,10.34,100.0,RU
dryden,49.7833,-92.7503,5.16,998.0,93.0,5.66,100.0,CA
kruisfontein,-34.0033,24.7314,20.49,1020.0,71.0,3.32,71.0,ZA
udachny,66.4167,112.4,13.58,1007.0,73.0,6.58,100.0,RU
altai,46.3722,96.2583,15.25,1011.0,16.0,1.89,100.0,MN
nemuro,43.3236,145.575,5.71,1012.0,78.0,6.33,6.0,JP
san pedro,14.35,121.0167,26.31,1010.0,96.0,0.89,100.0,PH
utrik,11.2278,169.8474,27.53,1011.0,81.0,7.16,97.0,MH
suntar,62.1444,117.6319,15.57,1011.0,51.0,1.84,1.0,RU
invercargill,-46.4,168.35,5.57,1005.0,88.0,10.28,99.0,NZ
fale old settlement,-9.3852,-171.2468,29.28,1011.0,76.0,6.52,38.0,TK
amboasary,-25.0333,46.3833,22.35,1017.0,77.0,2.82,0.0,MG
thompson,55.7435,-97.8558,6.09,1006.0,75.0,4.63,75.0,CA
saint-joseph,-21.3667,55.6167,22.21,1017.0,84.0,5.23,61.0,RE
berber,18.0216,33.983,43.24,1004.0,6.0,5.17,0.0,SD
cidreira,-30.1811,-50.2056,10.03,1026.0,88.0,7.93,99.0,BR
chinde,26.8418,88.0763,24.15,1002.0,56.0,3.16,18.0,NP
al wajh,26.2455,36.4525,28.97,1007.0,42.0,9.77,0.0,SA
vilyuchinsk,52.9306,158.4028,5.14,1009.0,89.0,7.09,100.0,RU
alta,69.9689,23.2717,7.33,1029.0,65.0,6.26,75.0,NO
lihue,21.9789,-159.3672,23.77,1018.0,77.0,6.17,100.0,US
suwayr,30.1171,40.3893,31.52,1007.0,11.0,7.56,0.0,SA
geraldton,-28.7667,114.6,15.23,1021.0,88.0,1.03,0.0,AU
jinja,0.439,33.2032,25.6,1011.0,58.0,3.93,31.0,UG
canutama,-6.5339,-64.3831,28.59,1014.0,74.0,0.65,100.0,BR
xilin hot,43.9667,116.0333,9.04,1008.0,74.0,8.33,61.0,CN
haiku-pauwela,20.9219,-156.3051,23.36,1016.0,76.0,4.02,40.0,US
bakau,13.4781,-16.6819,34.08,1010.0,46.0,5.66,0.0,GM
onega,63.9061,38.1404,8.29,1026.0,50.0,3.69,77.0,RU
saipan,15.1355,145.701,28.39,1014.0,74.0,3.6,75.0,MP
belyy yar,53.6039,91.3903,16.94,1008.0,63.0,5.0,0.0,RU
aswan,24.0934,32.907,38.61,1009.0,6.0,5.14,0.0,EG
zaozhuang,34.8647,117.5542,22.12,1007.0,66.0,5.2,98.0,CN
ocampo,21.65,-101.5,22.14,1014.0,30.0,2.62,36.0,MX
manta,-0.95,-80.7333,26.88,1011.0,83.0,2.57,100.0,EC
kavieng,-2.5744,150.7967,28.9,1010.0,80.0,6.46,54.0,PG
dudinka,69.4058,86.1778,-1.85,1007.0,76.0,8.05,100.0,RU
altay,47.8667,88.1167,14.73,1014.0,50.0,1.04,21.0,CN
yeysk,46.6989,38.2792,21.51,1020.0,40.0,10.66,1.0,RU
bikenibeu village,1.3673,173.1241,28.71,1010.0,77.0,6.66,28.0,KI
bobrov,51.0961,40.0333,19.44,1029.0,41.0,3.28,0.0,RU
jamestown,42.097,-79.2353,21.92,1012.0,73.0,2.57,40.0,US
coquimbo,-29.9533,-71.3436,12.85,1020.0,100.0,0.0,100.0,CL
severo-yeniseyskiy,60.3725,93.0408,3.65,1017.0,74.0,3.58,34.0,RU
port mathurin,-19.6833,63.4167,25.11,1015.0,79.0,8.95,93.0,MU
zabaykal'sk,49.6333,117.3167,12.54,1010.0,60.0,5.19,100.0,RU
moose jaw,50.4001,-105.5344,9.14,1008.0,57.0,3.09,13.0,CA
la passe,45.5549,-0.8967,23.13,1015.0,64.0,3.01,99.0,FR
ancud,-41.8697,-73.8203,5.3,1020.0,78.0,4.28,100.0,CL
puerto lleras,3.0223,-73.4044,23.4,1014.0,99.0,0.44,100.0,CO
tromso,69.6496,18.957,8.01,1030.0,49.0,2.57,98.0,NO
holualoa,19.6228,-155.9522,21.04,1020.0,99.0,0.0,100.0,US
shimoda,34.6667,138.95,16.17,1018.0,88.0,4.63,100.0,JP
malanje,-9.5402,16.341,30.27,1010.0,23.0,2.55,44.0,AO
talnakh,69.4865,88.3972,-2.11,1009.0,83.0,5.9,100.0,RU
tayshet,55.9342,98.0044,16.58,1007.0,55.0,2.61,99.0,RU
san jose del guaviare,2.5729,-72.6459,23.49,1013.0,100.0,0.89,100.0,CO
nizhnedevitsk,51.5419,38.3657,16.97,1029.0,43.0,2.61,1.0,RU
beroroha,-21.6667,45.1667,26.76,1015.0,36.0,0.57,24.0,MG
cururupu,-1.8283,-44.8683,29.31,1013.0,83.0,1.23,90.0,BR
san juan bautista,-14.0108,-75.7358,22.91,1014.0,47.0,2.73,0.0,PE
springbok,-29.6643,17.8865,23.49,1018.0,19.0,3.12,0.0,ZA
galle,6.0367,80.217,27.93,1008.0,84.0,9.16,100.0,LK
gaur,26.7667,85.2667,38.89,996.0,25.0,3.18,77.0,NP
alliance,40.9153,-81.1059,24.38,1011.0,79.0,5.13,100.0,US
neelankarai,12.9455,80.2575,32.03,1000.0,86.0,3.6,75.0,IN
georgetown,5.4112,100.3354,30.97,1008.0,77.0,1.54,20.0,MY
huarmey,-10.0681,-78.1522,20.23,1014.0,80.0,3.47,16.0,PE
brookings,44.3114,-96.7984,16.73,1005.0,68.0,10.29,0.0,US
shalqar,47.8333,59.6,14.65,1024.0,46.0,5.75,72.0,KZ
olonkinbyen,70.9221,-8.7187,0.99,1018.0,99.0,7.04,100.0,SJ
floro,61.5996,5.0328,26.04,1020.0,77.0,4.12,20.0,NO
emerald,-23.5333,148.1667,15.19,1022.0,63.0,2.89,0.0,AU
atafu village,-8.5421,-172.5159,29.37,1010.0,77.0,6.02,41.0,TK
kangar,6.4414,100.1986,28.98,1009.0,94.0,2.04,100.0,MY
bojia,26.4672,111.9681,26.77,1006.0,72.0,1.77,0.0,CN
lobujya,27.95,86.8167,1.03,1020.0,97.0,1.55,100.0,NP
mancio lima,-7.6142,-72.8958,27.04,1015.0,89.0,0.0,75.0,BR
awjilah,29.1081,21.2869,37.35,1010.0,11.0,2.06,100.0,LY
noumea,-22.2763,166.4572,14.99,1019.0,60.0,3.12,28.0,NC
kill devil hills,36.0307,-75.676,25.0,1011.0,91.0,2.57,40.0,US
yatou,37.15,122.3833,15.88,1012.0,96.0,4.84,98.0,CN
arawa,-6.2132,155.5367,25.92,1011.0,93.0,1.21,97.0,PG
inhapim,-19.5492,-42.12,25.33,1018.0,56.0,1.7,100.0,BR
richards bay,-28.783,32.0377,22.76,1020.0,71.0,3.45,6.0,ZA
tazovsky,67.4667,78.7,0.25,998.0,99.0,5.54,100.0,RU
tobelo,1.7284,128.0095,27.28,1011.0,85.0,3.4,100.0,ID
laguna,38.421,-121.4238,13.37,1014.0,83.0,3.6,100.0,US
sola,-13.8833,167.55,26.58,1012.0,84.0,10.18,97.0,VU
mildura,-34.2,142.15,10.9,1026.0,63.0,2.95,12.0,AU
karwar,14.8,74.1333,28.63,1006.0,84.0,3.91,100.0,IN
saint-affrique,43.9558,2.8892,24.88,1016.0,29.0,2.04,100.0,FR
viqueque,-8.8673,126.3658,24.59,1013.0,94.0,2.04,55.0,TL
damghan,36.1683,54.348,21.11,1015.0,42.0,8.19,100.0,IR
rudbar,30.15,62.6,38.45,1003.0,13.0,6.17,0.0,AF
baikonur,45.6167,63.3167,13.96,1022.0,19.0,9.14,96.0,KZ
goshen,41.5823,-85.8344,19.38,1011.0,87.0,6.17,75.0,US
pacific grove,36.6177,-121.9166,12.99,1016.0,92.0,3.09,100.0,US
plettenberg bay,-34.0527,23.3716,18.26,1019.0,69.0,1.06,2.0,ZA
aktau,43.65,51.2,21.32,1024.0,27.0,9.33,4.0,KZ
tshabong,-26.05,22.45,26.24,1018.0,17.0,2.47,2.0,BW
pizarro,4.9533,-77.366,27.46,1012.0,83.0,1.26,85.0,CO
lorengau,-2.0226,147.2712,27.92,1010.0,85.0,5.01,49.0,PG
kuusamo,65.9667,29.1833,11.02,1027.0,32.0,4.63,0.0,FI
salekhard,66.53,66.6019,0.22,999.0,98.0,6.71,95.0,RU
brokopondo,4.75,-55.1667,24.99,1014.0,89.0,0.4,100.0,SR
guerrero negro,27.9769,-114.0611,15.71,1015.0,80.0,6.35,9.0,MX
shiguai,40.7058,110.2856,17.4,1010.0,40.0,7.1,0.0,CN
aral,40.5156,81.2636,27.53,1004.0,27.0,9.47,100.0,CN
kudahuvadhoo,2.6708,72.8944,29.13,1009.0,80.0,7.31,91.0,MV
sao gabriel da cachoeira,-0.1303,-67.0892,27.89,1013.0,78.0,1.03,40.0,BR
vadso,70.0744,29.7487,7.49,1026.0,75.0,8.75,20.0,NO
santana,-0.0583,-51.1817,31.1,1013.0,74.0,3.09,40.0,BR
abepura,-2.6333,140.5833,25.45,1009.0,94.0,1.54,20.0,ID
mana,5.6592,-53.7767,27.0,1014.0,81.0,1.35,100.0,GF
mersa matruh,31.3525,27.2453,25.11,1014.0,53.0,5.14,0.0,EG
namtsy,62.7161,129.6658,9.76,1019.0,55.0,1.98,0.0,RU
beykonak,36.3257,30.303,23.19,1008.0,56.0,3.14,0.0,TR
sao paulo de olivenca,-3.3783,-68.8725,26.2,1013.0,88.0,1.02,100.0,BR
vertientes,21.2594,-78.1464,28.34,1015.0,54.0,3.07,2.0,CU
pelabuhanratu,-6.9875,106.5514,25.73,1012.0,89.0,2.22,80.0,ID
pyt-yakh,60.7499,72.8582,8.14,1006.0,81.0,6.57,100.0,RU
whangarei,-35.7317,174.3239,12.36,1013.0,90.0,2.88,49.0,NZ
soe,-9.8607,124.284,19.91,1014.0,94.0,1.12,100.0,ID
imeko,7.45,2.85,23.11,1012.0,90.0,2.01,100.0,NG
dunedin,-45.8742,170.5036,5.45,999.0,82.0,8.94,90.0,NZ
mount pearl,47.5166,-52.7813,10.96,1002.0,97.0,2.57,100.0,CA
tofol,5.3248,163.0078,28.8,1010.0,80.0,5.14,100.0,FM
ak-dovurak,51.1833,90.6,20.06,1006.0,33.0,1.79,72.0,RU
xichang,27.8964,102.2634,23.22,1003.0,62.0,2.07,31.0,CN
pervomayskoye,43.919,46.7102,18.45,1021.0,44.0,11.06,36.0,RU
new norfolk,-42.7826,147.0587,4.84,1029.0,83.0,0.47,88.0,AU
