Unnamed: 0,city,latitude,logitude,temperature,pressure,humidity,wind_speed,cloudiness,country
0,waitangi,-43.9535,-176.5597,8.79,1000.0,89.0,0.45,82.0,NZ
1,cabo san lucas,22.8909,-109.9124,28.99,1011.0,43.0,3.53,100.0,MX
2,puerto san carlos,,,,,,,,
3,marka,1.7159,44.7717,26.34,1013.0,86.0,6.47,96.0,SO
4,port-aux-francais,-49.35,70.2167,2.6,996.0,75.0,13.51,87.0,TF
5,petropavlivka,48.4564,36.4367,15.98,1025.0,39.0,5.95,0.0,UA
6,stanley,54.868,-1.6985,14.32,1017.0,76.0,3.6,40.0,GB
7,albany,42.6001,-73.9662,26.6,1008.0,35.0,0.89,20.0,US
8,mejit,10.2753,170.8646,27.87,1012.0,85.0,8.57,100.0,MH
9,isafjordur,66.0755,-23.124,5.25,1007.0,89.0,5.14,100.0,IS
10,grytviken,-54.2811,-36.5092,-2.03,990.0,83.0,4.79,100.0,GS
11,tsiombe,-25.3,45.4833,19.92,1020.0,88.0,4.15,0.0,MG
12,lozuvatka,48.0571,33.2858,19.61,1023.0,43.0,6.58,52.0,UA
13,mount isa,-20.7333,139.5,12.87,1018.0,88.0,0.0,0.0,AU
14,tarauaca,-8.1614,-70.7656,30.91,1010.0,63.0,0.44,26.0,BR
15,moyale,3.5167,39.0584,21.34,1014.0,71.0,1.88,76.0,KE
16,thunder bay,48.4001,-89.3168,7.95,1013.0,71.0,7.2,75.0,CA
17,touros,-5.1989,-35.4608,29.37,1011.0,67.0,7.4,51.0,BR
18,hamilton,39.1834,-84.5333,26.43,1012.0,66.0,4.63,0.0,US
19,chilaw,7.5758,79.7953,27.01,1006.0,83.0,14.04,98.0,LK
20,correntina,-13.3433,-44.6367,32.08,1011.0,25.0,1.8,15.0,BR
21,wailua homesteads,22.0669,-159.378,23.05,1021.0,82.0,5.14,100.0,US
22,saipan,15.1355,145.701,27.39,1013.0,83.0,5.14,0.0,MP
23,tazovsky,67.4667,78.7,-9.51,1016.0,92.0,4.31,33.0,RU
24,sitka,57.0531,-135.33,8.94,1014.0,81.0,2.57,100.0,US
25,howrah,22.5892,88.3103,31.0,1001.0,79.0,2.06,40.0,IN
26,kovdor,67.5662,30.4758,7.47,1021.0,54.0,4.49,72.0,RU
27,adamstown,-25.066,-130.1015,21.65,1018.0,73.0,2.21,42.0,PN
28,thompson,55.7435,-97.8558,11.58,1015.0,41.0,3.14,90.0,CA
29,tralee,52.2704,-9.7026,13.86,1017.0,65.0,0.9,48.0,IE
30,kikwit,-5.041,18.8162,26.96,1010.0,51.0,0.75,97.0,CD
31,east london,-33.0153,27.9116,18.85,1026.0,78.0,3.96,100.0,ZA
32,taiohae,,,,,,,,
33,tondano,1.3038,124.9112,20.05,1009.0,94.0,0.35,93.0,ID
34,saint-pierre,-21.3393,55.4781,21.82,1019.0,83.0,4.12,75.0,RE
35,dhanera,24.5167,72.0167,32.63,999.0,45.0,7.1,0.0,IN
36,aasiaat,68.7098,-52.8699,-1.46,1014.0,81.0,1.38,54.0,GL
37,aransas pass,27.9095,-97.15,31.57,1008.0,73.0,6.69,100.0,US
38,new norfolk,-42.7826,147.0587,5.02,1031.0,86.0,0.76,99.0,AU
39,constantia,44.1833,28.65,17.38,1017.0,82.0,3.77,97.0,RO
40,blackmans bay,-43.0167,147.3167,3.53,1027.0,91.0,0.45,100.0,AU
41,ushuaia,-54.8,-68.3,3.79,1027.0,99.0,1.74,100.0,AR
42,karratha,-20.7377,116.8463,22.36,1015.0,74.0,3.05,0.0,AU
43,tolanaro,-25.0319,46.9987,20.79,1021.0,84.0,4.03,25.0,MG
44,waajid,3.8096,43.2463,26.13,1013.0,74.0,6.64,100.0,SO
45,port mathurin,-19.6833,63.4167,23.01,1017.0,82.0,11.0,100.0,MU
46,avarua,-21.2078,-159.775,26.03,1015.0,78.0,3.09,100.0,CK
47,happy valley-goose bay,53.3168,-60.3315,2.99,1010.0,94.0,3.47,100.0,CA
48,invercargill,-46.4,168.35,9.45,1007.0,79.0,8.05,100.0,NZ
49,bredasdorp,-34.5322,20.0403,15.17,1025.0,87.0,5.34,100.0,ZA
50,afaahiti,-17.75,-149.2833,27.93,1017.0,86.0,9.3,72.0,PF
51,mulayjah,27.271,48.4242,32.87,1005.0,21.0,4.07,0.0,SA
52,aykhal,66.0,111.5,7.9,1012.0,84.0,1.71,76.0,RU
53,atafu village,-8.5421,-172.5159,28.84,1012.0,75.0,3.26,92.0,TK
54,tazacorte,28.629,-17.9293,20.64,1019.0,86.0,3.6,75.0,ES
55,palmer,42.1584,-72.3287,27.85,1009.0,31.0,6.69,20.0,US
56,mananjary,-21.2167,48.3333,20.58,1021.0,87.0,1.53,65.0,MG
57,ta`u,-14.2336,-169.5144,28.28,1013.0,77.0,2.22,100.0,AS
58,tura,25.5198,90.2201,28.37,1002.0,57.0,1.32,28.0,IN
59,punta arenas,-53.15,-70.9167,8.06,1027.0,66.0,2.06,0.0,CL
60,gaspe,48.8334,-64.4819,11.67,1001.0,96.0,2.13,100.0,CA
61,kavaratti,10.5669,72.642,29.2,1006.0,83.0,6.23,100.0,IN
62,nadym,65.5333,72.5167,-0.02,1016.0,57.0,4.91,94.0,RU
63,iqaluit,63.7506,-68.5145,-2.39,1016.0,74.0,2.68,18.0,CA
64,fraserburgh,57.6874,-2.0184,14.68,1017.0,89.0,7.21,96.0,GB
65,mount pearl,47.5166,-52.7813,6.64,1007.0,97.0,6.17,100.0,CA
66,badger,64.8,-147.5333,9.29,1004.0,91.0,0.45,100.0,US
67,ancud,-41.8697,-73.8203,8.44,1024.0,68.0,3.69,100.0,CL
68,novaya igirma,57.1334,103.9112,9.82,1016.0,95.0,1.55,65.0,RU
69,isangel,-19.55,169.2667,20.74,1016.0,74.0,4.71,1.0,VU
70,college,64.8569,-147.8028,9.18,1004.0,92.0,0.0,100.0,US
71,yuzawa,39.1667,140.5,10.85,1013.0,86.0,3.84,68.0,JP
72,seogwipo,,,,,,,,
73,ust-nera,64.5667,143.2,1.31,1023.0,82.0,0.82,56.0,RU
74,ingeniero guillermo n. juarez,-23.9,-61.85,18.19,1023.0,41.0,6.18,88.0,AR
75,la passe,45.5549,-0.8967,18.09,1019.0,74.0,3.54,23.0,FR
76,hithadhoo,-0.6,73.0833,28.76,1009.0,77.0,5.05,100.0,MV
77,lompoc,34.6391,-120.4579,15.33,1014.0,69.0,6.17,0.0,US
78,kimbe,-5.5502,150.1429,25.02,1010.0,94.0,2.01,93.0,PG
79,acajutla,13.5928,-89.8275,31.37,1010.0,62.0,4.77,3.0,SV
80,pearsall,28.8922,-99.095,33.66,1005.0,43.0,4.26,39.0,US
81,paradip garh,20.3167,86.6167,29.98,1000.0,79.0,4.13,59.0,IN
82,jiexiu,37.0244,111.9125,19.1,1011.0,74.0,2.51,99.0,CN
83,sisimiut,66.9395,-53.6735,0.76,1013.0,76.0,3.26,44.0,GL
84,northam,51.0333,-4.2167,13.48,1019.0,73.0,1.87,54.0,GB
85,olonkinbyen,70.9221,-8.7187,0.37,1022.0,90.0,4.64,100.0,SJ
86,whitehorse,60.7161,-135.0538,8.49,1006.0,72.0,1.34,100.0,CA
87,puerto natales,-51.7236,-72.4875,6.25,1029.0,56.0,2.06,0.0,CL
88,westport,41.1415,-73.3579,27.94,1010.0,35.0,4.63,0.0,US
89,aswan,24.0934,32.907,35.93,1009.0,13.0,8.75,0.0,EG
90,puerto ayora,-0.7393,-90.3518,27.98,1013.0,76.0,5.6,53.0,EC
91,arawa,-6.2132,155.5367,25.59,1011.0,94.0,1.99,98.0,PG
92,sikandarpur,26.05,84.05,34.88,1000.0,35.0,4.36,2.0,IN
93,james island,,,,,,,,
94,trinidad,-14.8333,-64.9,28.02,1014.0,53.0,4.19,74.0,BO
95,vorgashor,67.5833,63.95,-2.33,1005.0,96.0,9.02,100.0,RU
96,edinburgh of the seven seas,-37.0676,-12.3116,15.82,1025.0,84.0,8.23,89.0,SH
97,talnakh,69.4865,88.3972,-12.66,1018.0,100.0,0.07,88.0,RU
98,luderitz,-26.6481,15.1594,16.66,1017.0,68.0,5.88,0.0,
